"Name","div_rank","gender_rank","overall_rank","swim","bike","run"
"Værnes, Arve 1167","168","944","1092","01:19:34","05:11:40","03:50:19"
"Dr. Drechsel, Uwe 311","23","1237","1558","01:25:07","05:29:22","04:28:21"
"Torres, Andres 639","--","--","--","--:--:--","--:--:--","--:--:--"
"Novikov, Sergey 1134","51","489","522","00:58:21","04:47:54","03:48:54"
"Van Berkel, Jan 26","24","25","26","00:50:32","04:30:49","03:01:21"
"Kim, Baek Woon 314","47","1451","1943","01:24:49","06:11:44","05:13:01"
"Skov, Charly 448","91","1368","1789","01:18:44","05:28:16","05:14:13"
"Serda, Diego 1423","154","808","895","00:55:34","05:38:17","03:34:26"
"Kriening, Tony 315","42","1398","1851","01:13:44","05:59:24","05:04:16"
"Hill, Michael 2032","95","362","391","00:50:16","04:45:23","03:48:39"
"Anderson, Adriana 1875","66","436","1816","01:29:15","05:44:10","04:58:05"
"Ellingsen, Per Morten 1278","133","704","769","01:08:57","04:43:25","04:05:53"
"Seidler, Peter 1784","109","461","494","00:56:21","04:46:18","03:48:21"
"Halatsch, Niels 1972","117","510","545","00:59:27","04:48:04","03:50:15"
"Noone, Nicholas 2386","2","126","137","00:53:08","04:40:52","03:24:35"
"Pereira, Edmilson 2278","54","448","480","00:53:13","04:48:12","03:51:16"
"Yeats, Dexter 182","9","635","2294","01:45:51","07:22:38","07:17:32"
"Johnston, Roy 1478","235","1296","1669","01:15:28","05:46:54","04:39:25"
"Priest, Darren 1062","172","976","1133","01:12:33","05:34:26","03:42:35"
"Stage Nielsen, Maja 3031","15","15","172","00:58:26","04:59:54","03:06:59"
"Ohata, Ryosuke 1775","52","228","250","00:55:12","04:58:44","03:18:33"
"Troch, Gerhard 1075","90","667","721","00:58:23","05:04:00","03:50:31"
"Wächtershäuser, Anna 1917","47","247","1386","01:11:49","05:25:28","04:16:53"
"Ashmore, Linda 193","--","--","--","--:--:--","--:--:--","--:--:--"
"Bravo Dueñas, Roman Ismael 2218","85","952","1104","01:12:08","05:06:39","04:04:38"
"Rocheteau, Yann 1316","24","192","210","01:02:07","04:44:58","03:20:17"
"Cordeiro, Ilka 1175","33","284","1472","01:08:02","05:51:40","04:01:57"
"Coble, Caroline 2145","16","84","875","01:15:23","05:12:22","03:36:33"
"Rinderer, Sandra 270","11","605","2205","01:41:07","07:23:04","06:05:21"
"Cozine, Steve 653","--","--","--","--:--:--","--:--:--","--:--:--"
"Harris, Patricia 381","22","536","2031","01:27:32","06:53:50","05:09:50"
"Herman, Rafal 1293","166","861","966","01:01:23","04:56:43","04:17:10"
"Terry, Joe 2459","131","1194","1480","01:20:30","05:23:55","04:16:39"
"Fear, Phoebe 1543","16","110","978","01:06:49","05:10:19","04:00:47"
"Nicholls, David 2125","87","328","354","01:02:26","04:56:06","03:22:26"
"Mccarty, Van 922","141","846","942","01:19:08","05:24:50","03:25:37"
"Kasischke, Dennis 155","--","--","--","--:--:--","--:--:--","--:--:--"
"Wakahara, Shingo 1080","245","1372","1795","01:04:05","05:39:55","05:25:11"
"Vanichkachorn, Jed 2465","234","1283","1644","01:19:09","05:49:57","04:24:40"
"Louhaichy, Zouheir 763","194","1532","2091","01:30:24","06:49:29","05:38:53"
"Yun, Su 1008","177","1015","1188","01:16:01","05:01:04","04:10:24"
"Trnovcova, Zuzana 2211","24","116","994","01:11:23","05:11:31","03:53:59"
"Diaz Sebriano, Guadalupe 2421","21","361","1641","01:03:12","06:30:05","03:57:36"
"Coady, Kevin 1452","--","--","--","01:07:36","--:--:--","--:--:--"
"Simon, Dorian 942","102","719","790","01:08:31","05:19:58","03:28:48"
"Gianinni, Vanessa 1882","10","79","839","01:00:55","05:03:54","03:59:45"
"Mcneile, Edward 2124","9","59","64","00:51:54","04:46:04","03:07:47"
"Besser, Michael 151","30","1654","2285","02:02:17","07:48:45","06:20:49"
"Adam, Stefanie 1597","15","105","965","00:59:30","04:49:30","04:27:27"
"Keith, Sharon 268","2","507","1978","01:12:46","06:20:00","05:35:14"
"Mcdonald, Mary 388","7","497","1955","01:18:11","06:27:27","05:16:57"
"Bradley, Jeffrey 1642","30","143","156","01:09:31","04:43:34","03:05:09"
"Reinhard, Rob 518","--","--","--","01:50:22","--:--:--","--:--:--"
"Giaux, Jérôme 2072","137","657","710","01:05:18","04:49:15","03:52:42"
"Juanicotena Madrigal, Victoria 2327","25","181","1208","00:58:45","05:27:14","04:11:56"
"Wojnar, Robert 1527","127","670","726","01:13:12","04:51:07","03:48:18"
"Nievergelt, Juliana 542","--","--","--","00:57:06","05:21:27","--:--:--"
"Gibbons, Megan 2367","34","235","1347","00:56:51","05:33:43","04:17:57"
"Vara, Veronica 2481","84","420","1781","01:28:29","06:21:37","04:15:18"
"Nguy, Marie 1606","97","563","2099","01:42:12","07:21:15","05:05:01"
"Mcnamee, David 5","3","3","3","00:49:31","04:21:18","02:46:03"
"Paes, Fabiano 998","143","851","951","01:09:15","05:04:06","04:00:47"
"Young, Lee-Anne 586","28","480","1901","01:20:29","06:45:32","04:29:32"
"Mccauley, Jocelyn 3016","30","42","593","00:54:12","04:53:01","03:56:29"
"Park, Reon 1137","2","108","118","00:57:34","04:33:45","03:18:48"
"Zhou, Yantao 2063","145","726","797","01:03:48","05:02:47","03:50:03"
"Mutchie, Jeffrey 1057","88","652","705","01:20:10","05:06:51","03:24:23"
"Vorster, Rowan 1325","40","284","306","01:00:35","04:46:20","03:29:27"
"Smith, Craig 944","115","781","864","01:07:16","04:55:10","04:03:44"
"Limbert, Matt 992","190","1045","1236","01:00:07","05:15:49","04:21:31"
"Darcq, Vincent 2101","66","248","270","01:03:48","04:50:29","03:20:42"
"Frederikke, Idon-Andersen 2423","11","230","1334","01:08:10","05:39:03","04:02:55"
"Killick, Luca 2254","50","413","444","01:04:59","04:49:49","03:33:51"
"Hirako, Takahiro 2393","29","1093","1311","01:21:08","05:19:44","04:00:55"
"Anderson, Judy 803","28","412","1761","01:08:44","06:02:12","04:46:51"
"Lapinski, Rick 1670","101","422","454","01:00:46","04:46:51","03:41:15"
"Tettenborn, Barbara 392","9","499","1960","01:10:41","06:28:51","05:25:21"
"Goto, Sachie 548","47","594","2181","01:15:43","06:45:47","06:43:36"
"Brüschke, Steven 2067","52","218","239","01:18:04","04:43:22","03:05:53"
"Houston, Keri 827","8","244","1379","01:11:54","05:37:49","04:03:18"
"Gómez Hernández, Daniel 1724","45","204","222","00:53:29","04:45:35","03:32:14"
"Tan, Wenjuan 2344","44","345","1611","01:36:31","05:43:52","04:12:38"
"Gonzalez, Glenn 745","169","1394","1843","01:12:26","05:37:12","05:23:15"
"Braun, Daniel 2015","159","910","1041","01:04:17","04:52:06","04:23:47"
"Walker, Rebekah 1901","50","281","1461","01:09:29","05:29:41","04:23:01"
"Fillnow, Meghan 1881","3","51","696","01:08:49","05:09:57","03:32:26"
"Cullier, Antoine 2100","176","1280","1640","01:23:01","05:36:31","04:29:12"
"Zimeri, Andres 2241","32","281","303","01:02:44","04:49:17","03:23:50"
"Ireland, Kerry 852","55","509","1981","01:13:44","06:10:29","05:49:02"
"Ferrazzi, Urbano 401","58","1201","1496","01:18:23","05:34:45","04:16:40"
"Green, Frank 280","39","1357","1772","01:13:23","05:40:24","05:01:35"
"Willerton, Triny 957","72","554","2071","01:19:36","06:31:48","05:57:44"
"Ostrander, George 774","173","1420","1899","01:21:24","05:50:16","05:20:58"
"Gmelin, Moritz 1285","101","584","628","00:59:11","04:50:40","03:54:50"
"Suhadolnik, Ales 1425","6","105","115","01:01:11","04:44:44","03:09:06"
"Schutjes, Alain 1154","61","528","566","01:06:32","04:40:01","03:49:27"
"Cabos, German 598","163","1380","1815","01:35:51","06:27:31","04:06:20"
"Breznikar, Branko 230","11","1384","1824","00:59:33","05:45:34","05:29:33"
"Florea, Shannon 1544","71","368","1661","01:08:07","06:15:29","04:15:21"
"Nakai, Yuka 1940","74","590","2171","01:44:26","07:23:16","05:36:23"
"Muschiol, Nico 2081","31","121","132","01:12:44","04:34:18","03:11:11"
"Ford, Susan 809","43","465","1875","01:19:28","06:19:12","04:49:11"
"Rodriguez, Sebastien 2050","63","239","261","00:58:00","04:39:43","03:34:07"
"Crouser, Mark 2473","148","1297","1671","01:12:48","05:40:53","04:44:03"
"Bradley, Meagan 1577","57","311","1530","00:58:07","05:25:00","04:55:40"
"Belgy, Guillaume 2013","28","112","123","00:58:29","04:33:06","03:25:58"
"Galt, Dean 897","34","402","433","01:05:35","04:49:04","03:34:30"
"Daffey, David 1338","217","1160","1423","01:22:01","05:27:08","04:08:54"
"aichholzer, hannes 587","16","526","563","01:06:28","04:49:11","03:43:13"
"Gray, Ian 1401","140","727","798","01:01:32","05:22:24","03:35:17"
"Ayala, Sergio 1258","136","718","789","01:08:23","05:12:13","03:36:29"
"Krauth, Joachim 2276","11","128","139","01:04:02","04:44:19","03:09:14"
"Paulsen, Daniel 2401","34","1277","1634","01:03:11","05:16:09","05:14:57"
"Heslinga, Jc 1042","35","414","445","01:07:19","05:02:24","03:18:36"
"Sun, Hyunsoo 1072","77","605","649","01:08:07","04:53:01","03:42:44"
"Green, Tamara 1909","12","92","921","01:08:14","05:29:01","03:34:37"
"Veldeman, Stefaan 1429","44","315","340","00:59:08","04:47:20","03:31:55"
"Watson, Sarah 1594","54","293","1493","01:10:01","05:47:47","04:08:34"
"Jackson, Steve 1976","33","131","142","00:51:38","04:49:08","03:19:34"
"In-Albon, Tina 1583","5","53","701","01:06:00","05:10:19","03:32:36"
"Devlin, Patrick 2102","183","1515","2064","01:31:29","06:13:54","06:02:11"
"De Amorim Filho, Jorge 1651","24","118","129","00:54:58","04:33:38","03:28:11"
"Nicosia, Filippo 1498","--","--","--","--:--:--","--:--:--","--:--:--"
"Vrbanac, Michael 346","29","1281","1642","01:06:40","05:23:08","04:49:11"
"Hayes, Helena 2353","10","87","889","00:58:47","05:31:40","03:39:06"
"Gerber, Chris 608","140","1250","1582","01:10:32","05:36:32","04:37:28"
"Libach, Charlotte 2177","57","336","1590","01:05:26","05:27:33","04:55:02"
"Lepps, Owen 1484","242","1362","1782","00:59:06","05:53:26","05:13:15"
"Tutukin, Ivan 12","--","--","--","00:50:48","04:30:28","--:--:--"
"Kandutsch, Florian 2113","26","104","114","00:56:48","04:39:39","03:16:31"
"Mort, Tom 1991","67","257","279","01:00:16","04:48:08","03:26:44"
"Arlandson, Dan J 1384","92","537","575","01:01:02","04:50:05","03:43:08"
"Burns, Kevin 885","195","1068","1271","01:19:18","04:58:49","04:22:36"
"Wehrle, Christopher 2283","73","646","697","00:58:48","04:49:00","04:02:17"
"Renzi, Luca 1778","58","259","281","01:00:39","04:42:51","03:30:44"
"Pennington, Megan 1628","39","212","1297","01:12:46","05:34:39","03:57:15"
"Cotton, Jon 1337","245","1375","1803","01:17:23","05:37:11","05:05:22"
"Charles, Lee 1026","211","1163","1430","01:12:19","05:00:54","04:45:58"
"Thaus, Peter 950","217","1181","1462","01:02:55","05:03:42","04:57:39"
"Koester, Jen 2356","29","207","1282","01:12:05","05:19:07","04:11:58"
"Hamaguchi, Tatsuo 164","32","1663","2298","01:45:44","07:29:32","07:09:18"
"Hochstrasser, Max 145","13","1553","2125","01:30:41","06:30:56","06:06:02"
"Carlsson, Christian 888","165","935","1080","01:17:36","04:52:16","04:11:57"
"Andersson, Dennis 2215","74","665","719","00:58:40","04:52:17","04:01:08"
"Chain, Jeanna 1202","--","--","--","--:--:--","--:--:--","--:--:--"
"Reed, Pam 557","27","474","1888","01:28:15","06:26:15","04:38:51"
"Braun, Thomas 728","--","--","--","--:--:--","--:--:--","--:--:--"
"Offenhuber, Marcus 996","106","743","819","01:08:04","05:14:53","03:36:57"
"Shaw, Karen 1947","59","341","1604","01:20:16","05:43:05","04:24:28"
"Senn, Rolf 791","59","893","1015","01:12:11","05:10:02","03:55:29"
"Bode, Andreas 291","18","1218","1526","01:12:30","05:44:59","04:18:25"
"Ruppel, Rafael 2128","106","412","443","01:07:15","04:52:33","03:28:20"
"Pajor, Gabor 1742","149","685","746","01:01:21","05:20:43","03:30:10"
"Peed, Shane 2048","180","1350","1761","01:25:30","05:30:24","05:03:16"
"Malvezzi Martinez, Osvaldo Maximiliano 1354","206","1077","1284","01:12:14","05:37:22","03:53:12"
"Andersson, Mats 720","195","1559","2133","01:28:31","06:42:12","06:01:32"
"Fouss, François 1283","19","162","177","01:03:33","04:40:16","03:19:26"
"Jansen, Mark 985","--","--","--","--:--:--","--:--:--","--:--:--"
"Brown, Michael 1448","--","--","--","--:--:--","--:--:--","--:--:--"
"Bach, Jennifer 1576","21","125","1019","01:15:52","05:18:00","03:45:28"
"Åstrand, Annika 569","11","403","1738","01:04:18","06:10:25","04:42:04"
"Mcgovern, Brian 331","9","1002","1165","01:22:04","05:29:46","03:40:53"
"Kunze, Alexander 909","57","508","543","01:15:13","05:14:59","03:09:10"
"Valdivieso, Ignacio 2059","168","1066","1269","01:06:33","05:14:39","04:18:13"
"Burdorf, Gary 731","209","1656","2288","01:36:50","07:46:26","06:46:38"
"Wheeler, Kiah 2455","9","220","1315","01:09:19","05:46:33","03:50:40"
"Shepherd, Paul 1157","264","1504","2048","01:46:38","07:08:02","04:45:50"
"Joly, Christophe 615","103","1082","1290","01:05:53","05:02:37","04:35:42"
"Dejesus, Sue 250","14","611","2227","01:16:00","07:44:45","06:22:34"
"Linssen, Rik 2080","60","234","256","00:53:49","04:45:46","03:34:24"
"Coeck, Inge 848","21","380","1687","01:15:33","05:40:38","04:48:39"
